,fold_1,fold_2,fold_3,fold_4,fold_5,models,measure,targets,samplers,mean,std,se
0,49.26682001150087,51.61677753141167,50.532841823056295,49.54743255004351,49.54202586206897,null_rand_draw,balanced_accuracy,target_Aroused,raw data,50.1,0.97,0.43379718763495917
1,7.6923076923076925,14.285714285714285,11.11111111111111,6.451612903225806,6.25,null_rand_draw,precision,target_Aroused,raw data,9.16,3.47,1.551831176384854
2,7.772020725388601,13.586956521739129,10.135135135135135,6.493506493506493,6.369426751592357,null_rand_draw,f-Beta,target_Aroused,raw data,8.87,3.04,1.359529330319872
3,51.1860264519839,50.88075880758808,48.81702412868633,55.71801566579635,51.315553160919535,null_coin_flip,balanced_accuracy,target_Aroused,raw data,51.58,2.52,1.126978260659894
4,9.375,11.0,9.268292682926829,8.823529411764707,7.327586206896551,null_coin_flip,precision,target_Aroused,raw data,9.16,1.31,0.5858498101049449
5,11.180124223602483,13.033175355450238,11.046511627906975,10.638297872340425,8.881922675026123,null_coin_flip,f-Beta,target_Aroused,raw data,10.96,1.48,0.6618761213399377
6,50.0,50.0,50.0,50.0,50.0,null_always_one,balanced_accuracy,target_Aroused,raw data,50.0,0.0,0.0
7,8.958837772397095,10.653753026634384,9.685230024213075,7.263922518159806,7.021791767554479,null_always_one,precision,target_Aroused,raw data,8.72,1.56,0.6976532089799343
8,10.953226761397277,12.971698113207546,11.820330969267138,8.917954815695598,8.625817965496728,null_always_one,f-Beta,target_Aroused,raw data,10.66,1.87,0.8362894235849213
9,50.0,50.0,50.0,50.0,50.0,null_common_class,balanced_accuracy,target_Aroused,raw data,50.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,null_common_class,precision,target_Aroused,raw data,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,null_common_class,f-Beta,target_Aroused,raw data,0.0,0.0,0.0
12,52.569723979298445,49.728997289972895,49.46380697050938,49.73890339425587,49.86979166666667,ada boost,balanced_accuracy,target_Aroused,raw data,50.27,1.29,0.5769055381949457
13,66.66666666666666,0.0,0.0,0.0,0.0,ada boost,precision,target_Aroused,raw data,13.33,29.81,13.331437281853745
14,20.408163265306122,0.0,0.0,0.0,0.0,ada boost,f-Beta,target_Aroused,raw data,4.08,9.13,4.083060126914616
15,52.17078780908568,50.18785415126879,51.42761394101877,49.21671018276763,51.6253591954023,bagging,balanced_accuracy,target_Aroused,raw data,50.93,1.2,0.5366563145999494
16,33.33333333333333,12.5,20.0,0.0,12.5,bagging,precision,target_Aroused,raw data,15.67,12.21,5.460478001054486
17,16.393442622950822,6.578947368421054,12.5,0.0,10.75268817204301,bagging,f-Beta,target_Aroused,raw data,9.25,6.26,2.7995571078297363
18,52.85724554341576,49.91685144124168,49.953083109919575,49.83899042645779,50.0628591954023,decision tree,balanced_accuracy,target_Aroused,raw data,50.53,1.31,0.5858498101049449
19,25.0,10.0,9.523809523809524,6.666666666666667,7.142857142857142,decision tree,precision,target_Aroused,raw data,11.67,7.59,3.3943511898446803
20,17.647058823529413,5.952380952380952,8.064516129032258,5.5555555555555545,7.092198581560284,decision tree,f-Beta,target_Aroused,raw data,8.86,5.01,2.240540113454789
21,49.5507475560667,49.981522542498155,51.06233243967828,44.36466492602263,45.177801724137936,balanced decision tree,balanced_accuracy,target_Aroused,raw data,48.03,3.04,1.359529330319872
22,8.695652173913043,10.638297872340425,10.588235294117647,4.464285714285714,4.25531914893617,balanced decision tree,precision,target_Aroused,raw data,7.73,3.17,1.4176670977348667
23,10.06036217303823,11.904761904761905,11.842105263157896,5.2301255230125525,4.938271604938272,balanced decision tree,f-Beta,target_Aroused,raw data,8.8,3.47,1.551831176384854
24,50.0,49.86449864498645,50.0,50.0,50.0,gaussian process,balanced_accuracy,target_Aroused,raw data,49.97,0.06,0.026832815729997475
25,0.0,0.0,0.0,0.0,0.0,gaussian process,precision,target_Aroused,raw data,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,gaussian process,f-Beta,target_Aroused,raw data,0.0,0.0,0.0
27,50.95241518113859,49.86449864498645,50.31166219839142,49.34725848563969,49.47916666666667,gradient boosting,balanced_accuracy,target_Aroused,raw data,49.99,0.66,0.29516097302997224
28,25.0,0.0,12.5,0.0,0.0,gradient boosting,precision,target_Aroused,raw data,7.5,11.18,4.999847997689529
29,9.433962264150944,0.0,6.944444444444445,0.0,0.0,gradient boosting,f-Beta,target_Aroused,raw data,3.28,4.57,2.0437661314348077
30,49.86702127659575,49.457994579945805,49.73190348525469,49.869451697127936,49.73958333333333,k nearest neighbor,balanced_accuracy,target_Aroused,raw data,49.73,0.17,0.07602631123499286
31,0.0,0.0,0.0,0.0,0.0,k nearest neighbor,precision,target_Aroused,raw data,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,k nearest neighbor,f-Beta,target_Aroused,raw data,0.0,0.0,0.0
33,50.95241518113859,49.05149051490515,52.23190348525469,49.47780678851175,51.49515086206896,linear discriminant analysis,balanced_accuracy,target_Aroused,raw data,50.64,1.35,0.6037383539249432
